 array_element_name	array_element_type	organism	is_control	locus	description	chromosome
246463_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16970	encodes a 2-alkenal reductase (EC 1.3.1.74), plays a key role in the detoxification of reactive carbonyls	5
257748_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18710	Encodes a protein containing a U-box and an ARM domain. This protein has E3 ubiquitin ligase activity based on in vitro assays.	3
254045_at	oligonucleotide	Arabidopsis thaliana	no	AT4G25880	Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3 Prime UTR of target mRNA transcripts.	4
264142_at	oligonucleotide	Arabidopsis thaliana	no	AT1G78930	Mitochondrial transcription termination factor family protein;(source:Araport11)	1
258638_at	oligonucleotide	Arabidopsis thaliana	no	AT3G07950	rhomboid protein-like protein;(source:Araport11)	3
255406_at	oligonucleotide	Arabidopsis thaliana	no	AT4G03450	Ankyrin repeat family protein;(source:Araport11)	4
261518_at	oligonucleotide	Arabidopsis thaliana	no	AT1G71695	Peroxidase superfamily protein;(source:Araport11)	1
245841_s_at	oligonucleotide	Arabidopsis thaliana	no	AT1G58983	Ribosomal protein S5 family protein;(source:Araport11)	1
249304_at	oligonucleotide	Arabidopsis thaliana	no	AT5G41480	Encodes a dihydrofolate synthetase based on yeast complementation experiments. This protein is involved in folate biosynthesis.	5
246303_at	oligonucleotide	Arabidopsis thaliana	no	AT3G51870	Mitochondrial substrate carrier family protein;(source:Araport11)	3
253647_at	oligonucleotide	Arabidopsis thaliana	no	AT4G29950	Ypt/Rab-GAP domain of gyp1p superfamily protein;(source:Araport11)	4
257721_at	oligonucleotide	Arabidopsis thaliana	no	AT3G18310	TATA box-binding protein associated factor RNA polymerase I subunit C;(source:Araport11)	3
250627_at	oligonucleotide	Arabidopsis thaliana	no	AT5G07360	Amidase family protein;(source:Araport11)	5
253965_at	oligonucleotide	Arabidopsis thaliana	no	AT4G26490	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;(source:Araport11)	4
